#NAME?	#NAME?
(1) (Japanese) maple	(1) (ஜப்பானிய) மேப்பிள்
Autumn is cool.	இலையுதிர் காலம் குளிர்ச்சியானது.
Ball	பந்து
Be careful!	கவனமாக இரு!
Before he arrived, we had finished eating.	அவர் வருவதற்குள் நாங்கள் சாப்பிட்டு முடித்திருந்தோம்.
Bon dance (Japanese traditional dance)	பான் நடனம் (ஜப்பானிய பாரம்பரிய நடனம்)
Breakfast is served from 7 to 9 in the first-floor restaurant.	முதல் மாடியில் உள்ள உணவகத்தில் காலை உணவு 7 முதல் 9 வரை வழங்கப்படுகிறது.
Britain	பிரிட்டன்
Buddha; merciful person; Buddhist image; the dead	புத்தர்; இரக்கமுள்ள நபர்; புத்த உருவம்; இறந்தவர்கள்
Buddhist karma; actions committed in a former life	புத்த கர்மா; முந்தைய வாழ்க்கையில் செய்த செயல்கள்
Buddhist priest; monk	பௌத்த மதகுரு; துறவி
Buddhist temple	புத்த கோவில்
By 2028 I will have graduated.	2028ல் நான் பட்டம் பெற்றிருப்பேன்.
By 2030, I will have graduated.	2030 க்குள், நான் பட்டம் பெற்றிருப்பேன்.
By 9 PM we will have watched the whole series.	இரவு 9 மணிக்குள் முழு தொடரையும் பார்த்துவிடுவோம்.
By card, please.	அட்டை மூலம், தயவுசெய்து.
By next month we will have saved enough.	அடுத்த மாதத்திற்குள் போதுமான அளவு சேமிப்போம்.
By the end of the year, we will have visited five countries.	இந்த ஆண்டு இறுதிக்குள் நாங்கள் ஐந்து நாடுகளுக்குச் சென்றிருப்போம்.
By the rules it's not allowed, but in practice you can.	விதிகளின்படி இது அனுமதிக்கப்படவில்லை, ஆனால் நடைமுறையில் உங்களால் முடியும்.
By the time I woke up, everyone had left.	நான் எழுவதற்குள் அனைவரும் கிளம்பிவிட்டனர்.
By the time you arrive, we will have eaten.	நீங்கள் வருவதற்குள் நாங்கள் சாப்பிட்டு விடுவோம்.
By then, I will have forgotten his name.	அதற்குள் அவன் பெயரையே மறந்து விடுவேன்.
By then, he will be driving home.	அதற்குள் அவன் வீட்டிற்கு காரில் சென்று விடுவான்.
By this time next year, I will have changed my job.	அடுத்த வருஷம் இந்த நேரத்துல நான் என் வேலையை மாற்றிவிடுவேன்.
CD	குறுவட்டு
California	கலிபோர்னியா
Call an ambulance!	ஆம்புலன்ஸை அழைக்கவும்!
Call me when you're free.	நீங்கள் ஓய்வாக இருக்கும்போது என்னை அழைக்கவும்.
Call the police!	காவல்துறையை அழைக்கவும்!
Can I ask a favor?	நான் ஒரு உதவி கேட்கலாமா?
Can I borrow some money?	நான் கொஞ்சம் பணம் கடன் வாங்கலாமா?
Can I change rooms?	நான் அறைகளை மாற்றலாமா?
Can I come in?	நான் உள்ளே வரலாமா?
Can I exchange it?	நான் அதை மாற்றலாமா?
Can I get a map?	நான் ஒரு வரைபடத்தைப் பெற முடியுமா?
Can I get a receipt?	ரசீது கிடைக்குமா?
Can I get this to go?	நான் இதைப் போக்க முடியுமா?
Can I have some water?	எனக்கு தண்ணீர் கிடைக்குமா?
Can I leave my bags here?	நான் என் பைகளை இங்கே விட்டுவிடலாமா?
Can I leave my luggage?	நான் என் சாமான்களை விட்டுவிடலாமா?
Can I park here?	நான் இங்கே நிறுத்தலாமா?
Can I pay by card on the bus?	பேருந்தில் கார்டு மூலம் பணம் செலுத்த முடியுமா?
Can I pay by card?	நான் அட்டை மூலம் பணம் செலுத்தலாமா?
Can I return it?	நான் அதை திருப்பித் தர முடியுமா?
Can I return this?	இதை நான் திருப்பித் தர முடியுமா?
Can I take a message?	நான் ஒரு செய்தியை எடுக்கலாமா?
Can I take it to go?	நான் அதை எடுத்து செல்லலாமா?
Can I take photos here?	நான் இங்கே புகைப்படம் எடுக்கலாமா?
Can I try this on?	நான் இதை முயற்சி செய்யலாமா?
Can I use a credit card?	நான் கிரெடிட் கார்டைப் பயன்படுத்தலாமா?
Can I use this ticket?	இந்த டிக்கெட்டை நான் பயன்படுத்தலாமா?
Can I use your phone?	நான் உங்கள் தொலைபேசியைப் பயன்படுத்தலாமா?
Can she cook?	அவளால் சமைக்க முடியுமா?
Can we pay by card?	அட்டை மூலம் பணம் செலுத்த முடியுமா?
Can we play here?	இங்கே விளையாடலாமா?
Can we see the menu?	மெனுவைப் பார்க்கலாமா?
Can you call a taxi?	டாக்ஸியை அழைக்க முடியுமா?
Can you come to my birthday?	என் பிறந்தநாளுக்கு வர முடியுமா?
Can you come tomorrow?	நாளை வர முடியுமா?
Can you eat spicy food?	காரமான உணவை உண்ணலாமா?
Can you explain it simply?	எளிமையாக விளக்க முடியுமா?
Can you fix it, please?	தயவுசெய்து அதை சரிசெய்ய முடியுமா?
Can you fix it?	சரி செய்ய முடியுமா?
Can you hear that noise?	அந்த சத்தம் கேட்கிறதா?
Can you help me with this box?	இந்த பெட்டியில் எனக்கு உதவ முடியுமா?
Can you help me, please?	தயவுசெய்து எனக்கு உதவ முடியுமா?
Can you recommend a pharmacy?	நீங்கள் ஒரு மருந்தகத்தை பரிந்துரைக்க முடியுமா?
Can you see it?	உங்களால் பார்க்க முடியுமா?
Can you show me on the map?	வரைபடத்தில் காட்ட முடியுமா?
