#NAME?	#NAME؟
(1) (Japanese) maple	(1) (جاپانی) میپل
Can I pay by card?	کیا میں کارڈ کے ذریعے ادائیگی کر سکتا ہوں؟
Can I return it?	کیا میں اسے واپس کر سکتا ہوں؟
Can I return this?	کیا میں اسے واپس کر سکتا ہوں؟
Can I take a message?	کیا میں ایک پیغام لے سکتا ہوں؟
Can I take it to go?	کیا میں اسے جانے کے لیے لے جا سکتا ہوں؟
Can I take photos here?	کیا میں یہاں فوٹو لے سکتا ہوں؟
Can I try this on?	کیا میں اسے آزما سکتا ہوں؟
Can I use a credit card?	کیا میں کریڈٹ کارڈ استعمال کر سکتا ہوں؟
Can I use this ticket?	کیا میں یہ ٹکٹ استعمال کر سکتا ہوں؟
Can I use your phone?	کیا میں آپ کا فون استعمال کر سکتا ہوں؟
Can she cook?	کیا وہ پکا سکتی ہے؟
Can we pay by card?	کیا ہم کارڈ کے ذریعے ادائیگی کر سکتے ہیں؟
Can we play here?	کیا ہم یہاں کھیل سکتے ہیں؟
Can we see the menu?	کیا ہم مینو دیکھ سکتے ہیں؟
Can you call a taxi?	کیا آپ ٹیکسی بلا سکتے ہیں؟
Can you come to my birthday?	کیا آپ میری سالگرہ پر آ سکتے ہیں؟
Can you come tomorrow?	کیا تم کل آ سکتے ہو؟
Can you eat spicy food?	کیا آپ مسالہ دار کھانا کھا سکتے ہیں؟
Can you explain it simply?	کیا آپ اسے آسان بیان کر سکتے ہیں؟
Can you fix it, please?	کیا آپ اسے ٹھیک کر سکتے ہیں، براہ مہربانی؟
Can you fix it?	کیا آپ اسے ٹھیک کر سکتے ہیں؟
Can you hear that noise?	کیا آپ اس شور کو سن سکتے ہیں؟
Can you help me with this box?	کیا آپ اس باکس میں میری مدد کر سکتے ہیں؟
Can you help me, please?	کیا آپ میری مدد کر سکتے ہیں؟
Can you recommend a pharmacy?	کیا آپ فارمیسی تجویز کر سکتے ہیں؟
Can you see it?	کیا آپ اسے دیکھ سکتے ہیں؟
Can you show me on the map?	کیا آپ مجھے نقشے پر دکھا سکتے ہیں؟
Can you speak Japanese?	کیا آپ جاپانی بول سکتے ہیں؟
Can you speak in English?	کیا آپ انگریزی میں بات کر سکتے ہیں؟
Can you speak more slowly?	کیا آپ زیادہ آہستہ بول سکتے ہیں؟
Can you swim?	کیا آپ تیر سکتے ہیں؟
Can you wait a moment?	کیا آپ ایک لمحہ انتظار کر سکتے ہیں؟
Can you watch my bag?	کیا آپ میرا بیگ دیکھ سکتے ہیں؟
Canada	کینیڈا
Cat	بلی
Cats like milk.	بلیوں کو دودھ پسند ہے۔
Certainly.	یقیناً۔
Cheers!	شاباش!
Cheers! (a toast)	شاباش! (ایک ٹوسٹ)
Chicago	شکاگو
Children's Day	بچوں کا دن
China	چین
Chinese Character-Japanese (e.g. dictionary)	چینی حروف-جاپانی (جیسے لغت)
Chinese character	چینی کردار
Chinese word; Sino-Japanese word	چینی لفظ؛ چین-جاپانی لفظ
Choose any color.	کسی بھی رنگ کا انتخاب کریں۔
Christian Era; anno domini (A.D.)	عیسائی دور؛ اینو ڈومینی (اے ڈی)
Christmas	کرسمس
Coffee and cake, please.	کافی اور کیک، براہ مہربانی.
Coffee is grown in Brazil.	کافی برازیل میں اگائی جاتی ہے۔
Coffee, please.	کافی، براہ مہربانی.
Come here, please.	یہاں آو، براہ مہربانی.
Come into the kitchen.	کچن میں آجاؤ۔
Congratulations on graduating!	گریجویشن پر مبارک ہو!
Congratulations on your wedding!	آپ کی شادی پر مبارک ہو!
Congratulations!	مبارک ہو!
Congratulations.	مبارک ہو
Constitution Day	یوم آئین
Could I borrow your pen?	کیا میں آپ کا قلم ادھار لے سکتا ہوں؟
Could I change my room?	کیا میں اپنا کمرہ بدل سکتا ہوں؟
Could I get a coffee, please?	کیا میں ایک کافی لے سکتا ہوں، براہ مہربانی؟
Could I have a receipt?	کیا مجھے رسید مل سکتی ہے؟
Could we have the bill, please?	کیا ہمیں بل مل سکتا ہے، براہ کرم؟
Could you call a cab for me?	کیا آپ میرے لیے ٹیکسی بلا سکتے ہیں؟
Could you open the window, please?	کیا آپ کھڑکی کھول سکتے ہیں، براہ کرم؟
Could you pass the salt?	کیا آپ نمک پاس کر سکتے ہیں؟
Could you say that again?	کیا آپ دوبارہ کہہ سکتے ہیں؟
Could you show me the way?	کیا آپ مجھے راستہ دکھا سکتے ہیں؟
Could you speak a little slower?	کیا آپ تھوڑا آہستہ بول سکتے ہیں؟
Could you speak up, please?	کیا آپ بات کر سکتے ہیں، براہ مہربانی؟
Could you wrap it, please?	کیا آپ اسے لپیٹ سکتے ہیں، براہ کرم؟
Could you write it down?	کیا آپ اسے لکھ سکتے ہیں؟
Count me in!	مجھے اس میں شمار کرو!
Cover your mouth when you cough.	کھانستے وقت اپنے منہ کو ڈھانپیں۔
Culture Day	ثقافت کا دن
DVD	ڈی وی ڈی
December	دسمبر
Dial the emergency number.	ایمرجنسی نمبر ڈائل کریں۔
Did she finish her work?	کیا اس نے اپنا کام ختم کیا؟
Did she pass the exam?	کیا اس نے امتحان پاس کیا؟
Did they come yesterday?	کیا وہ کل آئے تھے؟
Did we miss the bus?	کیا ہماری بس چھوٹ گئی؟
Did you call me?	کیا تم نے مجھے بلایا؟
Did you enjoy the movie?	کیا آپ نے فلم کا لطف اٹھایا؟
Did you enjoy the trip?	کیا آپ نے سفر کا لطف اٹھایا؟
Did you get my message?	کیا آپ کو میرا پیغام ملا؟
Did you have a good weekend?	کیا آپ کا ویک اینڈ اچھا گزرا؟
Did you have breakfast?	کیا تم نے ناشتہ کیا؟
Did you see that movie?	کیا آپ نے وہ فلم دیکھی؟
Diet building	غذا کی عمارت
Diet; congress; parliament	خوراک کانگریس پارلیمنٹ
Do they live here?	کیا وہ یہاں رہتے ہیں؟
Do we have class today?	کیا آج ہماری کلاس ہے؟
Do we have enough money?	کیا ہمارے پاس کافی پیسہ ہے؟
Do we have to sign here?	کیا ہمیں یہاں دستخط کرنے ہیں؟
Do we need more chairs?	کیا ہمیں مزید کرسیوں کی ضرورت ہے؟
Do you deliver?	کیا آپ پہنچاتے ہیں؟
Do you have a bigger size?	کیا آپ کا سائز بڑا ہے؟
Do you have a city map?	کیا آپ کے پاس شہر کا نقشہ ہے؟
Do you have a lighter?	کیا آپ کے پاس لائٹر ہے؟
Do you have a pen?	کیا آپ کے پاس قلم ہے؟
Do you have a pet?	کیا آپ کے پاس کوئی پالتو جانور ہے؟
Do you have a phone charger?	کیا آپ کے پاس فون چارجر ہے؟
Do you have any brothers?	کیا آپ کے کوئی بھائی ہیں؟
Do you have any idea?	کیا آپ کو کوئی اندازہ ہے؟
Do you have any news?	کیا آپ کو کوئی خبر ہے؟
Do you have any opinions regarding this plan?	کیا آپ کی اس پلان کے بارے میں کوئی رائے ہے؟
Do you have any pets?	کیا آپ کے پاس کوئی پالتو جانور ہے؟
Do you have any questions?	کیا آپ کا کوئی سوال ہے؟
Do you have change for a twenty?	کیا آپ کے پاس بیس کے لیے تبدیلی ہے؟
Do you have change?	کیا آپ کے پاس تبدیلی ہے؟
Do you have dessert?	کیا آپ کے پاس میٹھا ہے؟
Do you have money?	کیا آپ کے پاس پیسے ہیں؟
Do you have my size?	کیا آپ کے پاس میرا سائز ہے؟
Do you have this dictionary?	کیا آپ کے پاس یہ لغت ہے؟
Do you have time?	کیا آپ کے پاس وقت ہے؟
Do you have to wear a uniform?	کیا آپ کو یونیفارم پہننا ہے؟
Do you like playing games?	کیا آپ کو گیمز کھیلنا پسند ہے؟
Do you like ramen?	کیا آپ کو رامین پسند ہے؟
Do you like tea?	کیا آپ کو چائے پسند ہے؟
Do you mind waiting a moment?	کیا آپ کو ایک لمحہ انتظار کرنے میں کوئی اعتراض ہے؟
Do you read the newspaper?	کیا آپ اخبار پڑھتے ہیں؟
Do you smoke?	کیا تم سگریٹ نوشی کرتے ہو؟
Do you speak English?	کیا آپ انگریزی بولتے ہیں؟
Do you take credit cards?	کیا آپ کریڈٹ کارڈ لیتے ہیں؟
Do you understand English?	کیا آپ انگریزی سمجھتے ہیں؟
Do you want any tea?	کیا آپ کو کوئی چائے چاہیے؟
Do you want to go shopping?	کیا آپ شاپنگ پر جانا چاہتے ہیں؟
Does anyone speak English here?	کیا یہاں کوئی انگریزی بولتا ہے؟
Does he have my number?	کیا اس کے پاس میرا نمبر ہے؟
Does he speak Hindi?	کیا وہ ہندی بولتا ہے؟
Does he work here?	کیا وہ یہاں کام کرتا ہے؟
Does she have a sister?	کیا اس کی کوئی بہن ہے؟
Does she like pizza?	کیا اسے پیزا پسند ہے؟
Does she speak French?	کیا وہ فرانسیسی بولتی ہے؟
Does the bus go to the station?	کیا بس اسٹیشن جاتی ہے؟
Does this bus go to Shinjuku?	کیا یہ بس شنجوکو جاتی ہے؟
Does this bus go to downtown?	کیا یہ بس شہر کے مرکز میں جاتی ہے؟
Does your father drive?	کیا آپ کے والد گاڑی چلاتے ہیں؟
Dog	کتا
Dogs are cute.	کتے پیارے ہیں۔
Don't be late.	دیر نہ کرو۔
Don't call at ten — I will be sleeping.	دس بجے فون مت کرنا — میں سو رہا ہوں گا۔
Don't forget to lock the door.	دروازہ بند کرنا نہ بھولیں۔
Don't panic.	گھبرائیں نہیں۔
Don't worry about it.	اس کی فکر نہ کریں۔
Don't worry, everything will be fine.	پریشان نہ ہوں، سب ٹھیک ہو جائے گا۔
Drink lots of water and get some rest.	بہت سا پانی پئیں اور تھوڑا آرام کریں۔
Drink plenty of water.	وافر مقدار میں پانی پیئے۔
East and West; whole country	مشرق اور مغرب؛ پورے ملک
Eat healthy food.	صحت مند کھانا کھائیں۔
Egg	انڈا
Emperor of Japan	جاپان کا شہنشاہ
English	انگریزی
English (language)	انگریزی (زبان)
English class is interesting.	انگریزی کلاس دلچسپ ہے۔
English conversation	انگریزی گفتگو
English is easier than Japanese.	انگریزی جاپانی سے آسان ہے۔
English is spoken all over the world.	انگریزی پوری دنیا میں بولی جاتی ہے۔
English language	انگریزی زبان
English letter (character)	انگریزی حرف (کردار)
English-Japanese (e.g. dictionary)	انگریزی-جاپانی (جیسے لغت)
Enjoy your stay!	اپنے قیام کا لطف اٹھائیں!
Enjoy your visit!	اپنے دورے کا لطف اٹھائیں!
Europe and America; the West	یورپ اور امریکہ؛ مغرب
Even if I am free, I can't just sleep every day.	یہاں تک کہ اگر میں آزاد ہوں، میں صرف ہر روز سو نہیں سکتا.
Everyone danced a lot.	سب نے بہت ڈانس کیا۔
Everyone must follow the rules.	سب کو قوانین پر عمل کرنا چاہیے۔
Everything is okay now.	اب سب کچھ ٹھیک ہے۔
Excuse me for disturbing (interrupting) you	آپ کو پریشان کرنے کے لیے معذرت
Excuse me, please help me.	معاف کیجئے گا، براہ کرم میری مدد کریں۔
Excuse me, where is the restroom?	معاف کیجئے گا، بیت الخلا کہاں ہے؟
Excuse me..; Sorry to interrupt you.	معاف کیجئے گا..; آپ کو روکنے کے لیے معذرت۔
Excuse me; I'm sorry	معاف کیجئے گا مجھے افسوس ہے
Excuse me?	معاف کیجئے گا؟
Exercise keeps you fit.	ورزش آپ کو فٹ رکھتی ہے۔
Family comes first.	خاندان پہلے آتا ہے۔
February	فروری
Feeling tired, she went to bed early.	تھکاوٹ محسوس کرتے ہوئے، وہ جلدی بستر پر چلا گیا.
Fire!	آگ!
Fish	مچھلی
Five friends came for me.	پانچ دوست میرے پاس آئے۔
Follow me!	میرے پیچھے چلیں!
Follow me, it's this way.	میرے پیچھے چلو، یہ اس طرح ہے۔
For here or to go?	یہاں کے لیے یا جانے کے لیے؟
For me, family comes first.	میرے لئے، خاندان سب سے پہلے آتا ہے.
Foreign Minister	وزیر خارجہ
Four eggs, please.	چار انڈے، براہ مہربانی.
Four pencils, please.	چار پنسلیں، پلیز۔
French fries	فرنچ فرائز
Friday	جمعہ
Friday (short)	جمعہ (مختصر)
From 9 o'clock.	9 بجے سے۔
From 9 to 5.	9 سے 5 تک۔
From Monday to Friday.	پیر سے جمعہ تک۔
Get out of here!	یہاں سے نکل جاؤ!
Get well soon.	جلد صحت یاب ہو جائیں۔
Glad to help.	مدد کرکے خوشی ہوئی۔
Go (board game of capturing territory)	جاؤ (علاقے پر قبضہ کرنے کا بورڈ گیم)
Go board	بورڈ جاؤ
Go straight ahead.	سیدھے آگے بڑھیں۔
Goat	بکری
God	خدا
Golden Week	گولڈن ویک
Good afternoon	صبح بخیر
Good evening	شب بخیر
Good evening!	شب بخیر!
Good evening! Table for how many?	شب بخیر! کتنے کے لئے میز؟
Good evening! Welcome to the Grand Hotel. Do you have a reservation?	شب بخیر! گرینڈ ہوٹل میں خوش آمدید۔ کیا آپ کے پاس ریزرویشن ہے؟
Good evening.	شب بخیر۔
Good morning	صبح بخیر
Good morning (polite)	صبح بخیر (شائستہ)
Good morning!	صبح بخیر!
Good morning! May I see your passport and boarding pass?	صبح بخیر! کیا میں آپ کا پاسپورٹ اور بورڈنگ پاس دیکھ سکتا ہوں؟
Good morning.	صبح بخیر
Good night	شب بخیر
Good night (polite)	شب بخیر (شائستہ)
Good night!	شب بخیر!
Good night.	شب بخیر
Goodbye (for a long time)	الوداع (طویل عرصے تک)
Had she known, she would have attended.	وہ جانتی تو ضرور شرکت کرتی۔
Had they ever visited this city?	کیا انہوں نے کبھی اس شہر کا دورہ کیا تھا؟
Had you ever been to Japan before?	کیا آپ پہلے کبھی جاپان گئے تھے؟
Had you finished the report?	کیا آپ رپورٹ مکمل کر چکے ہیں؟
Happy Diwali!	دیوالی مبارک ہو!
Happy Eid!	عید مبارک!
Happy New Year!	نیا سال مبارک ہو!
Happy New Year.	نیا سال مبارک ہو۔
Happy birthday!	سالگرہ مبارک ہو!
Has he paid the bill?	کیا اس نے بل ادا کیا ہے؟
Has it been raining here?	کیا یہاں بارش ہوئی ہے؟
Has she arrived?	کیا وہ آچکی ہے؟
Hat	ٹوپی
Have a great flight!	ایک شاندار پرواز ہے!
Have a nice day!	آپ کا دن اچھا گزرے!
Have we met before?	کیا ہم پہلے ملے ہیں؟
Have you already done your homework?	کیا آپ نے اپنا ہوم ورک پہلے ہی کر لیا ہے؟
Have you already eaten?	کیا آپ پہلے ہی کھا چکے ہیں؟
Have you been taking your medicine?	کیا آپ اپنی دوا لے رہے ہیں؟
Have you been waiting long?	کیا آپ طویل انتظار کر رہے ہیں؟
Have you eaten yet?	کیا تم نے ابھی تک کھایا ہے؟
