#NAME?	#اسم؟
(1) (Japanese) maple	(1) (اليابانية) القيقب
Cats like milk.	القطط مثل الحليب.
Certainly.	بالتأكيد.
Cheers!	هتافات!
Cheers! (a toast)	هتافات! (نخب)
Chicago	شيكاغو
Children's Day	يوم الطفل
China	الصين
Chinese Character-Japanese (e.g. dictionary)	الأحرف الصينية-اليابانية (مثل القاموس)
Chinese character	الطابع الصيني
Chinese word; Sino-Japanese word	كلمة صينية؛ كلمة صينية يابانية
Choose any color.	اختر أي لون.
Christian Era; anno domini (A.D.)	العصر المسيحي؛ سنة الرب (م)
Christmas	عيد الميلاد
Coffee and cake, please.	القهوة والكعك من فضلك.
Coffee is grown in Brazil.	تزرع القهوة في البرازيل.
Coffee, please.	القهوة من فضلك.
Come here, please.	تعال هنا من فضلك.
Come into the kitchen.	تعال إلى المطبخ.
Congratulations on graduating!	تهانينا على التخرج!
Congratulations on your wedding!	تهانينا على حفل الزفاف الخاص بك!
Congratulations!	تهانينا!
Congratulations.	تهانينا.
Constitution Day	يوم الدستور
Could I borrow your pen?	هل يمكنني استعارة قلمك؟
Could I change my room?	هل يمكنني تغيير غرفتي؟
Could I get a coffee, please?	هل يمكنني الحصول على القهوة، من فضلك؟
Could I have a receipt?	هل يمكنني الحصول على إيصال؟
Could we have the bill, please?	هل يمكننا الحصول على الفاتورة، من فضلك؟
Could you call a cab for me?	هل يمكنك استدعاء سيارة أجرة بالنسبة لي؟
Could you open the window, please?	هل يمكنك فتح النافذة من فضلك؟
Could you pass the salt?	هل يمكنك تمرير الملح؟
Could you say that again?	هل يمكنك قول ذلك مرة أخرى؟
Could you show me the way?	هل يمكن أن تريني الطريق؟
Could you speak a little slower?	هل يمكنك التحدث بشكل أبطأ قليلاً؟
Could you speak up, please?	هل يمكنك التحدث، من فضلك؟
Could you wrap it, please?	هل يمكنك تغليفه، من فضلك؟
Could you write it down?	هل يمكنك كتابتها؟
Count me in!	عد لي في!
Cover your mouth when you cough.	قم بتغطية فمك عند السعال.
Culture Day	يوم الثقافة
DVD	دي في دي
December	ديسمبر
Dial the emergency number.	اتصل برقم الطوارئ.
Did she finish her work?	هل أنهت عملها؟
Did she pass the exam?	هل نجحت في الامتحان؟
Did they come yesterday?	هل جاءوا بالأمس؟
Did we miss the bus?	هل فاتنا الحافلة؟
Did you call me?	هل اتصلت بي؟
Did you enjoy the movie?	هل استمتعت بالفيلم؟
Did you enjoy the trip?	هل استمتعت بالرحلة؟
Did you get my message?	هل وصلتك رسالتي؟
Did you have a good weekend?	هل حظيت بعطلة نهاية أسبوع جيدة؟
Did you have breakfast?	هل تناولت الفطور؟
Did you see that movie?	هل رأيت هذا الفيلم؟
Diet building	بناء النظام الغذائي
Diet; congress; parliament	النظام الغذائي؛ الكونغرس؛ البرلمان
Do they live here?	هل يعيشون هنا؟
Do we have class today?	هل لدينا فئة اليوم؟
Do we have enough money?	هل لدينا ما يكفي من المال؟
Do we have to sign here?	هل علينا التوقيع هنا؟
Do we need more chairs?	هل نحتاج للمزيد من الكراسي؟
Do you deliver?	هل تقوم بالتوصيل؟
Do you have a bigger size?	هل لديك حجم أكبر؟
Do you have a city map?	هل لديك خريطة للمدينة؟
Do you have a lighter?	هل لديك ولاعة؟
Do you have a pen?	هل لديك قلم؟
Do you have a pet?	هل لديك حيوان أليف؟
Do you have a phone charger?	هل لديك شاحن الهاتف؟
Do you have any brothers?	هل لديك أي إخوة؟
Do you have any idea?	هل لديك أي فكرة؟
Do you have any news?	هل لديك أي أخبار؟
Do you have any opinions regarding this plan?	هل لديك أي آراء حول هذه الخطة؟
Do you have any pets?	هل لديك أي حيوانات أليفة؟
Do you have any questions?	هل لديك أي أسئلة؟
Do you have change for a twenty?	هل لديك فكة لعشرين؟
Do you have change?	هل لديك التغيير؟
Do you have dessert?	هل لديك الحلوى؟
Do you have money?	هل لديك المال؟
Do you have my size?	هل لديك مقاسي؟
Do you have this dictionary?	هل لديك هذا القاموس؟
Do you have time?	هل لديك الوقت؟
Do you have to wear a uniform?	هل يجب عليك ارتداء الزي الرسمي؟
Do you like playing games?	هل تحب ممارسة الألعاب؟
Do you like ramen?	هل تحب رامين؟
Do you like tea?	هل تحب الشاي؟
Do you mind waiting a moment?	هل تمانع في الانتظار لحظة؟
Do you read the newspaper?	هل تقرأ الجريدة؟
Do you smoke?	هل تدخن؟
Do you speak English?	هل تتكلم بالإنجليزية؟
Do you take credit cards?	هل تأخذ بطاقات الائتمان؟
Do you understand English?	هل تفهم اللغة الإنجليزية؟
Do you want any tea?	هل تريد أي شاي؟
Do you want to go shopping?	هل تريد الذهاب للتسوق؟
Does anyone speak English here?	هل يتحدث أحد الإنجليزية هنا؟
Does he have my number?	هل لديه رقمي؟
Does he speak Hindi?	هل يتحدث الهندية؟
Does he work here?	هل يعمل هنا؟
Does she have a sister?	هل لديها أخت؟
Does she like pizza?	هل تحب البيتزا؟
Does she speak French?	هل تتحدث الفرنسية؟
Does the bus go to the station?	هل تذهب الحافلة إلى المحطة؟
Does this bus go to Shinjuku?	هل تذهب هذه الحافلة إلى شينجوكو؟
Does this bus go to downtown?	هل تذهب هذه الحافلة إلى وسط المدينة؟
Does your father drive?	هل يقود والدك؟
Dog	كلب
Dogs are cute.	الكلاب لطيفة.
Don't be late.	لا تتأخر.
Don't call at ten — I will be sleeping.	لا تتصل في العاشرة – سوف أكون نائماً.
Don't forget to lock the door.	لا تنس أن تقفل الباب.
Don't panic.	لا تُصب بالذعر.
Don't worry about it.	لا تقلق بشأن هذا
Don't worry, everything will be fine.	لا تقلق، كل شيء سيكون على ما يرام.
Drink lots of water and get some rest.	اشرب الكثير من الماء واحصل على قسط من الراحة.
Drink plenty of water.	اشرب الكثير من الماء.
East and West; whole country	الشرق والغرب. البلد كله
Eat healthy food.	تناول طعامًا صحيًا.
Egg	بيضة
Emperor of Japan	إمبراطور اليابان
English	الإنجليزية
English (language)	الإنجليزية (اللغة)
English class is interesting.	فئة اللغة الإنجليزية مثيرة للاهتمام.
English conversation	المحادثة الانجليزية
English is easier than Japanese.	اللغة الإنجليزية أسهل من اليابانية.
English is spoken all over the world.	يتم التحدث باللغة الإنجليزية في جميع أنحاء العالم.
English language	اللغة الانجليزية
English letter (character)	حرف انجليزي (حرف)
English-Japanese (e.g. dictionary)	الإنجليزية-اليابانية (مثل القاموس)
Enjoy your stay!	استمتع بإقامتك!
Enjoy your visit!	استمتع بزيارتك!
Europe and America; the West	أوروبا وأمريكا؛ الغرب
Even if I am free, I can't just sleep every day.	حتى لو كنت حرًا، لا أستطيع النوم كل يوم.
Everyone danced a lot.	الجميع رقصوا كثيرا.
Everyone must follow the rules.	يجب على الجميع اتباع القواعد.
Everything is okay now.	كل شيء على ما يرام الآن.
Excuse me for disturbing (interrupting) you	أعذرني على إزعاجك (مقاطعتك).
Excuse me, please help me.	عفوا، الرجاء مساعدتي.
Excuse me, where is the restroom?	عفواً، أين الحمام؟
Excuse me..; Sorry to interrupt you.	اعذرني..؛ آسف لمقاطعتك.
Excuse me; I'm sorry	اعذرني؛ أنا آسف
Excuse me?	عفوا؟
Exercise keeps you fit.	ممارسة الرياضة تحافظ على لياقتك.
Family comes first.	العائلة تأتي أولاً.
February	فبراير
Feeling tired, she went to bed early.	شعرت بالتعب، وذهبت إلى السرير في وقت مبكر.
Fire!	نار!
Fish	السمك
Five friends came for me.	جاء خمسة أصدقاء بالنسبة لي.
Follow me!	اتبعني!
Follow me, it's this way.	اتبعني، إنه بهذه الطريقة.
For here or to go?	هنا أو للذهاب؟
For me, family comes first.	بالنسبة لي، العائلة تأتي أولاً.
Foreign Minister	وزير الخارجية
Four eggs, please.	أربع بيضات من فضلك.
Four pencils, please.	أربعة أقلام رصاص، من فضلك.
French fries	بطاطا مقلية
Friday	الجمعة
Friday (short)	الجمعة (قصير)
From 9 o'clock.	من الساعة 9 صباحا.
From 9 to 5.	من 9 إلى 5.
From Monday to Friday.	من الاثنين إلى الجمعة.
Get out of here!	اخرج من هنا!
Get well soon.	نتمنى لك الشفاء العاجل.
Glad to help.	سعيد للمساعدة.
Go (board game of capturing territory)	اذهب (لعبة لوحية للاستيلاء على الأراضي)
Go board	اذهب إلى اللوحة
Go straight ahead.	المضي قدما مباشرة.
Goat	عنزة
God	الله
Golden Week	الاسبوع الذهبي
Good afternoon	مساء الخير
Good evening	مساء الخير
Good evening!	مساء الخير!
Good evening! Table for how many?	مساء الخير! الجدول بكم؟
Good evening! Welcome to the Grand Hotel. Do you have a reservation?	مساء الخير! مرحبا بكم في فندق جراند. هل لديك حجز؟
Good evening.	مساء الخير.
Good morning	صباح الخير
Good morning (polite)	صباح الخير (مؤدب)
Good morning!	صباح الخير!
Good morning! May I see your passport and boarding pass?	صباح الخير! هل يمكنني رؤية جواز سفرك وبطاقة الصعود إلى الطائرة؟
Good morning.	صباح الخير.
Good night	ليلة سعيدة
Good night (polite)	ليلة سعيدة (مهذبة)
Good night!	ليلة سعيدة!
Good night.	طاب مساؤك.
Goodbye (for a long time)	وداعا (لفترة طويلة)
Had she known, she would have attended.	لو علمت لحضرت.
Had they ever visited this city?	هل سبق لهم زيارة هذه المدينة؟
Had you ever been to Japan before?	هل سبق لك أن زرت اليابان من قبل؟
Had you finished the report?	هل انتهيت من التقرير؟
Happy Diwali!	ديوالي سعيد!
Happy Eid!	عيد سعيد!
Happy New Year!	سنة جديدة سعيدة!
Happy New Year.	سنة جديدة سعيدة.
Happy birthday!	عيد ميلاد سعيد!
Has he paid the bill?	هل قام بدفع الفاتورة؟
Has it been raining here?	هل هطل المطر هنا؟
Has she arrived?	هل وصلت؟
Hat	قبعة
Have a great flight!	أتمنى لك رحلة رائعة!
Have a nice day!	طاب يومك!
Have we met before?	هل التقينا من قبل؟
Have you already done your homework?	هل قمت بالفعل بواجبك المنزلي؟
Have you already eaten?	هل أكلت بالفعل؟
Have you been taking your medicine?	هل تناولت دوائك؟
Have you been waiting long?	هل انتظرت طويلاً؟
Have you eaten yet?	هل أكلت بعد؟
Have you ever been to Japan?	هل سبق لك أن ذهبت إلى اليابان؟
Have you ever been to London?	هل سبق لك أن ذهبت إلى لندن؟
Have you finished work?	هل انتهيت من العمل؟
Have you seen my glasses?	هل رأيت نظارتي؟
Have you seen this movie?	هل شاهدت هذا الفيلم؟
Have you taken anything for the fever?	هل أخذت أي شيء للحمى؟
He acts as if he were the king.	يتصرف كما لو كان الملك.
He agreed to help us.	وافق على مساعدتنا.
He asked me to help him.	وطلب مني مساعدته.
He asked me where I lived.	سألني أين أعيش.
He ate all the food.	أكل كل الطعام.
He avoids eating junk food.	فهو يتجنب تناول الوجبات السريعة.
He bought a new phone.	اشترى هاتفا جديدا.
He came down the hill.	لقد جاء إلى أسفل التل.
He came home late.	عاد إلى المنزل في وقت متأخر.
He can run very fast.	يمكنه الركض بسرعة كبيرة.
He can't come to the party.	لا يمكنه القدوم إلى الحفلة.
He can't come today.	لا يمكنه أن يأتي اليوم.
He couldn't answer the question.	لم يستطع الإجابة على السؤال.
He didn't call me back.	لم يتصل بي مرة أخرى.
