#NAME?	#NAME?
(1) (Japanese) maple	(1) (ಜಪಾನೀಸ್) ಮೇಪಲ್
(the) date	(ದಿ) ದಿನಾಂಕ
(the) ground	(ದಿ) ನೆಲ
(the) market (as a concept)	ಮಾರುಕಟ್ಟೆ (ಒಂದು ಪರಿಕಲ್ಪನೆಯಾಗಿ)
(the) whole; universal; wholly; general	(ದಿ) ಸಂಪೂರ್ಣ; ಸಾರ್ವತ್ರಿಕ; ಸಂಪೂರ್ಣವಾಗಿ; ಸಾಮಾನ್ಯ
(tire) goes flat	(ಟೈರ್) ಸಮತಟ್ಟಾಗುತ್ತದೆ
(train) conductor	(ರೈಲು) ಕಂಡಕ್ಟರ್
(tree) trunk	(ಮರ) ಕಾಂಡ
(v5r) to behead; to murder	(v5r) ಶಿರಚ್ಛೇದಕ್ಕೆ; ಕೊಲೆ ಮಾಡಲು
(v5r; vi) to take the place of; to relieve; to be substituted for	(v5r; vi) ಸ್ಥಾನವನ್ನು ಪಡೆದುಕೊಳ್ಳಲು; ನಿವಾರಿಸಲು; ಬದಲಿಗೆ ಮಾಡಬೇಕು
(v5s) to tear off; to peel off; to rip off	(v5s) ಹರಿದು ಹಾಕಲು; ಸಿಪ್ಪೆ ತೆಗೆಯಲು; ಕಿತ್ತುಹಾಕಲು
(v5u) to face; to go towards	(v5u) ಎದುರಿಸಲು; ಕಡೆಗೆ ಹೋಗಲು
(wasted) effort	(ವ್ಯರ್ಥ) ಪ್ರಯತ್ನ
(what) on earth	(ಏನು) ಭೂಮಿಯ ಮೇಲೆ
(your) backing; assistance	(ನಿಮ್ಮ) ಬೆಂಬಲ; ನೆರವು
(your) busy schedule	(ನಿಮ್ಮ) ಬಿಡುವಿಲ್ಲದ ವೇಳಾಪಟ್ಟಿ
(your/her) husband	(ನಿಮ್ಮ/ಅವಳ) ಪತಿ
(your/his) wife	(ನಿಮ್ಮ/ಅವನ) ಪತ್ನಿ
(your/his) wife (polite)	(ನಿಮ್ಮ/ಅವನ) ಪತ್ನಿ (ಸಭ್ಯ)
(your/their) child (polite)	(ನಿಮ್ಮ/ಅವರ) ಮಗು (ಸಭ್ಯ)
-floor (counter); stories	-ನೆಲ (ಕೌಂಟರ್); ಕಥೆಗಳು
-like; -looking; -looked	- ಹಾಗೆ; - ನೋಡುತ್ತಿರುವುದು; - ನೋಡಿದೆ
..., please.	..., ದಯವಿಟ್ಟು.
...for example	...ಉದಾಹರಣೆಗೆ
...th floor	...ನೇ ಮಹಡಿ
...year student	... ವರ್ಷದ ವಿದ್ಯಾರ್ಥಿ
...years old	... ವರ್ಷಗಳಷ್ಟು ಹಳೆಯದು
...yen	...ಯೆನ್
1.  (iron) hammer; 2.  punishment	1. (ಕಬ್ಬಿಣ) ಸುತ್ತಿಗೆ; 2. ಶಿಕ್ಷೆ
1.  (uk) between meal snack; afternoon refreshment; afternoon tea; 2.  mid-day snack	1. (ಯುಕೆ) ಊಟ ತಿಂಡಿ ನಡುವೆ; ಮಧ್ಯಾಹ್ನದ ಉಪಹಾರ; ಮಧ್ಯಾಹ್ನ ಚಹಾ; 2. ಮಧ್ಯಾಹ್ನದ ಲಘು
1.  a discount; a prize; 2.  something additional; bonus; an extra; 3.  an exaggeration	1. ರಿಯಾಯಿತಿ; ಒಂದು ಬಹುಮಾನ; 2. ಹೆಚ್ಚುವರಿ ಏನಾದರೂ; ಬೋನಸ್; ಒಂದು ಹೆಚ್ಚುವರಿ; 3. ಒಂದು ಉತ್ಪ್ರೇಕ್ಷೆ
1.  angle; 2.  bishop (shogi)	1. ಕೋನ; 2. ಬಿಷಪ್ (ಶೋಗಿ)
1.  details; whole story; sequence of events; particulars; how it started; how things got this way; 2.  c	1. ವಿವರಗಳು; ಸಂಪೂರ್ಣ ಕಥೆ; ಘಟನೆಗಳ ಅನುಕ್ರಮ; ವಿವರಗಳು; ಅದು ಹೇಗೆ ಪ್ರಾರಂಭವಾಯಿತು; ವಿಷಯಗಳು ಈ ರೀತಿಯಲ್ಲಿ ಹೇಗೆ ಬಂದವು; 2. ಸಿ
1.  one copy  e.g. of a document; 2.  a part; partly; some	1. ಒಂದು ಪ್ರತಿ ಉದಾ. ಒಂದು ದಾಖಲೆಯ; 2. ಒಂದು ಭಾಗ; ಭಾಗಶಃ; ಕೆಲವು
1.  several; various; divergent; conflicting; different; diverse; 2.  trivial	1. ಹಲವಾರು; ವಿವಿಧ; ಭಿನ್ನವಾದ; ಸಂಘರ್ಷದ; ವಿಭಿನ್ನ; ವೈವಿಧ್ಯಮಯ; 2. ಕ್ಷುಲ್ಲಕ
1.  strange; quaint; stylish; chic; spicy; queer; witty; tasty; romantic; 2.  2nd in rank; second sign of the	1. ವಿಚಿತ್ರ; ವಿಚಿತ್ರವಾದ; ಸೊಗಸಾದ; ಚಿಕ್; ಮಸಾಲೆಯುಕ್ತ; ವಿಲಕ್ಷಣ; ಹಾಸ್ಯದ; ಟೇಸ್ಟಿ; ಪ್ರಣಯ; 2. ಶ್ರೇಣಿಯಲ್ಲಿ 2ನೇ; ಎರಡನೇ ಚಿಹ್ನೆ
1.  to hang (something) on (something); to throw on (clothes); 2.  to hook; to catch; to trap; to ensnar	1. (ಏನಾದರೂ) ಮೇಲೆ ಸ್ಥಗಿತಗೊಳ್ಳಲು; (ಬಟ್ಟೆ) ಮೇಲೆ ಎಸೆಯಲು; 2. ಹುಕ್ ಮಾಡಲು; ಹಿಡಿಯಲು; ಬಲೆಗೆ ಬೀಳಿಸಲು; ensnar ಗೆ
10; ten	10; ಹತ್ತು
10th	10 ನೇ
10th (of the month)	10 ನೇ (ತಿಂಗಳ)
10th day / ten days	10 ನೇ ದಿನ / ಹತ್ತು ದಿನಗಳು
11th	11 ನೇ
12th	12 ನೇ
13th	13 ನೇ
14th	14 ನೇ
14th of the month	ತಿಂಗಳ 14 ನೇ
15th	15 ನೇ
16th	16 ನೇ
17th	17 ನೇ
18th	18 ನೇ
19th	19 ನೇ
1st	1 ನೇ
1st day of the month	ತಿಂಗಳ 1 ನೇ ದಿನ
1st of the month	ತಿಂಗಳ 1 ನೇ
20 years old; 20th year	20 ವರ್ಷ ವಯಸ್ಸು; 20 ನೇ ವರ್ಷ
20th	20 ನೇ
20th day of the month	ತಿಂಗಳ 20 ನೇ ದಿನ
20th of the month	ತಿಂಗಳ 20 ನೇ
21st	21 ನೇ
22nd	22 ನೇ
23rd	23 ನೇ
24th	24 ನೇ
24th of the month	ತಿಂಗಳ 24 ನೇ
25th	25 ನೇ
26th	26 ನೇ
27th	27 ನೇ
28th	28 ನೇ
29th	29 ನೇ
2nd	2 ನೇ
2nd day / two days	2 ನೇ ದಿನ / ಎರಡು ದಿನಗಳು
2nd of the month	ತಿಂಗಳ 2 ನೇ
3 p.m.	ಮಧ್ಯಾಹ್ನ 3 ಗಂಟೆ
30th	30 ನೇ
30th of the month	ತಿಂಗಳ 30 ನೇ
31st	31 ನೇ
3rd	3 ನೇ
3rd day / three days	3 ನೇ ದಿನ / ಮೂರು ದಿನಗಳು
3rd of the month	ತಿಂಗಳ 3 ನೇ
4th	4 ನೇ
4th day / four days	4 ನೇ ದಿನ / ನಾಲ್ಕು ದಿನಗಳು
4th of the month	ತಿಂಗಳ 4 ನೇ
5th	5 ನೇ
5th day / five days	5 ನೇ ದಿನ / ಐದು ದಿನಗಳು
5th of the month	ತಿಂಗಳ 5 ನೇ
60th birthday	60 ನೇ ಹುಟ್ಟುಹಬ್ಬ
6th	6 ನೇ
6th day / six days	6 ನೇ ದಿನ / ಆರು ದಿನಗಳು
6th of the month	ತಿಂಗಳ 6 ನೇ
7th	7 ನೇ
7th (of the month)	7ನೇ (ತಿಂಗಳ)
7th day / seven days	7 ನೇ ದಿನ / ಏಳು ದಿನಗಳು
8th	8 ನೇ
8th day / eight days	8 ನೇ ದಿನ / ಎಂಟು ದಿನಗಳು
8th of the month	ತಿಂಗಳ 8 ನೇ
9 a.m.	ಬೆಳಗ್ಗೆ 9
9th	9 ನೇ
9th day / nine days	9 ನೇ ದಿನ / ಒಂಬತ್ತು ದಿನಗಳು
9th of the month	ತಿಂಗಳ 9 ನೇ
A car is faster than a bicycle.	ಬೈಸಿಕಲ್‌ಗಿಂತ ಕಾರು ವೇಗವಾಗಿರುತ್ತದೆ.
A car is parked in front of the house.	ಮನೆ ಮುಂದೆ ಕಾರು ನಿಂತಿದೆ.
A cat is bigger than a rabbit.	ಬೆಕ್ಕು ಮೊಲಕ್ಕಿಂತ ದೊಡ್ಡದು.
A massage helps my back.	ಮಸಾಜ್ ನನ್ನ ಬೆನ್ನಿಗೆ ಸಹಾಯ ಮಾಡುತ್ತದೆ.
A storm is coming.	ಚಂಡಮಾರುತ ಬರುತ್ತಿದೆ.
A train is stopped at the station.	ನಿಲ್ದಾಣದಲ್ಲಿ ರೈಲು ನಿಲ್ಲಿಸಲಾಗಿದೆ.
A.M.	ಎ.ಎಂ.
AIDS	ಏಡ್ಸ್
AM (also means morning)	AM (ಬೆಳಿಗ್ಗೆ ಎಂದರ್ಥ)
Act (law: the X Act)	ಕಾಯಿದೆ (ಕಾನೂನು: X ಕಾಯಿದೆ)
After I eat, I'll go out.	ನಾನು ತಿಂದ ನಂತರ, ನಾನು ಹೊರಗೆ ಹೋಗುತ್ತೇನೆ.
After listening to music, I study.	ಸಂಗೀತವನ್ನು ಕೇಳಿದ ನಂತರ, ನಾನು ಅಧ್ಯಯನ ಮಾಡುತ್ತೇನೆ.
After she had left, I felt sad.	ಅವಳು ಹೋದ ನಂತರ ನನಗೆ ದುಃಖವಾಯಿತು.
After the bank, go past the park. The museum is on your right.	ಬ್ಯಾಂಕ್ ನಂತರ, ಉದ್ಯಾನವನದ ಹಿಂದೆ ಹೋಗಿ. ಮ್ಯೂಸಿಯಂ ನಿಮ್ಮ ಬಲಭಾಗದಲ್ಲಿದೆ.
After washing my hands, I ate.	ಕೈತೊಳೆದು ತಿಂದೆ.
Am I late for the meeting?	ನಾನು ಸಭೆಗೆ ತಡವಾಗಿದ್ದೇನೆಯೇ?
America	ಅಮೇರಿಕಾ
American person	ಅಮೇರಿಕನ್ ವ್ಯಕ್ತಿ
An apple a day keeps the doctor away.	ದಿನಕ್ಕೆ ಒಂದು ಸೇಬು ವೈದ್ಯರನ್ನು ದೂರವಿಡುತ್ತದೆ.
An apple is good for health.	ಸೇಬು ಆರೋಗ್ಯಕ್ಕೆ ಒಳ್ಳೆಯದು.
Any plans next month?	ಮುಂದಿನ ತಿಂಗಳು ಯಾವುದೇ ಯೋಜನೆಗಳಿವೆಯೇ?
Any student can answer this.	ಯಾವುದೇ ವಿದ್ಯಾರ್ಥಿ ಇದಕ್ಕೆ ಉತ್ತರಿಸಬಹುದು.
Anyone can learn to cook.	ಯಾರಾದರೂ ಅಡುಗೆ ಕಲಿಯಬಹುದು.
Anyone, regardless of gender, can participate.	ಲಿಂಗವನ್ನು ಲೆಕ್ಕಿಸದೆ ಯಾರು ಬೇಕಾದರೂ ಭಾಗವಹಿಸಬಹುದು.
Anything to eat with that?	ಅದರೊಂದಿಗೆ ತಿನ್ನಲು ಏನಾದರೂ?
Apple	ಆಪಲ್
April	ಏಪ್ರಿಲ್
Are they coming today?	ಅವರು ಇಂದು ಬರುತ್ತಿದ್ದಾರೆಯೇ?
Are we going to be late?	ನಾವು ತಡವಾಗಿ ಹೋಗುತ್ತೇವೆಯೇ?
Are we meeting at five?	ನಾವು ಐದು ಗಂಟೆಗೆ ಭೇಟಿಯಾಗುತ್ತೇವೆಯೇ?
Are we on time?	ನಾವು ಸಮಯಕ್ಕೆ ಸರಿಯಾಗಿರುತ್ತೇವೆಯೇ?
Are you a teacher?	ನೀವು ಶಿಕ್ಷಕರೇ?
Are you checking any bags today?	ನೀವು ಇಂದು ಯಾವುದೇ ಬ್ಯಾಗ್‌ಗಳನ್ನು ಪರಿಶೀಲಿಸುತ್ತಿದ್ದೀರಾ?
Are you coming with us?	ನೀವು ನಮ್ಮೊಂದಿಗೆ ಬರುತ್ತೀರಾ?
Are you free tomorrow?	ನಾಳೆ ನೀನು ಬಿಡುವೆಯಾ?
Are you from Japan?	ನೀವು ಜಪಾನ್‌ನವರೇ?
Are you going to come to the meeting?	ನೀವು ಸಭೆಗೆ ಬರುತ್ತೀರಾ?
Are you going to tell her the truth?	ನೀವು ಅವಳಿಗೆ ಸತ್ಯವನ್ನು ಹೇಳಲು ಹೋಗುತ್ತೀರಾ?
Are you okay?	ನೀನು ಚೆನ್ನಾಗಿದ್ದೀಯಾ?
Are you ready to go?	ನೀವು ಹೋಗಲು ಸಿದ್ಧರಿದ್ದೀರಾ?
Are you ready to order?	ನೀವು ಆರ್ಡರ್ ಮಾಡಲು ಸಿದ್ಧರಿದ್ದೀರಾ?
As for cats, I like them.	ಬೆಕ್ಕುಗಳಿಗೆ ಸಂಬಂಧಿಸಿದಂತೆ, ನಾನು ಅವುಗಳನ್ನು ಇಷ್ಟಪಡುತ್ತೇನೆ.
As for next week, I will rest.	ಮುಂದಿನ ವಾರದಲ್ಲಿ, ನಾನು ವಿಶ್ರಾಂತಿ ಪಡೆಯುತ್ತೇನೆ.
As for next year, I will go to Japan.	ಮುಂದಿನ ವರ್ಷ, ನಾನು ಜಪಾನ್‌ಗೆ ಹೋಗುತ್ತೇನೆ.
As for today, it's sunny.	ಇವತ್ತಿನ ಮಟ್ಟಿಗೆ ಬಿಸಿಲು.
As for yesterday, I went shopping.	ನಿನ್ನೆ, ನಾನು ಶಾಪಿಂಗ್ ಹೋಗಿದ್ದೆ.
As time passes, I end up forgetting.	ಸಮಯ ಕಳೆದಂತೆ, ನಾನು ಮರೆತುಬಿಡುತ್ತೇನೆ.
As your senior, let me say one word.	ನಿಮ್ಮ ಹಿರಿಯರಾದ ನಾನು ಒಂದು ಮಾತು ಹೇಳುತ್ತೇನೆ.
Asian studies	ಏಷ್ಯನ್ ಅಧ್ಯಯನಗಳು
At 8 PM I will be watching the match.	ರಾತ್ರಿ 8 ಗಂಟೆಗೆ ನಾನು ಪಂದ್ಯವನ್ನು ವೀಕ್ಷಿಸುತ್ತೇನೆ.
At no point did he admit his mistake.	ಯಾವ ಹಂತದಲ್ಲಿಯೂ ತನ್ನ ತಪ್ಪನ್ನು ಒಪ್ಪಿಕೊಳ್ಳಲಿಲ್ಲ.
August	ಆಗಸ್ಟ್
Australia	ಆಸ್ಟ್ರೇಲಿಯಾ
Autumn is cool.	ಶರತ್ಕಾಲವು ತಂಪಾಗಿರುತ್ತದೆ.
Ball	ಚೆಂಡು
Be careful!	ಜಾಗರೂಕರಾಗಿರಿ!
Before he arrived, we had finished eating.	ಅವನು ಬರುವ ಮೊದಲೇ ನಾವು ತಿಂದು ಮುಗಿಸಿದ್ದೆವು.
Bon dance (Japanese traditional dance)	ಬಾನ್ ನೃತ್ಯ (ಜಪಾನೀಸ್ ಸಾಂಪ್ರದಾಯಿಕ ನೃತ್ಯ)
Breakfast is served from 7 to 9 in the first-floor restaurant.	ಮೊದಲ ಮಹಡಿಯ ರೆಸ್ಟೋರೆಂಟ್‌ನಲ್ಲಿ 7 ರಿಂದ 9 ರವರೆಗೆ ಬೆಳಗಿನ ಉಪಾಹಾರವನ್ನು ನೀಡಲಾಗುತ್ತದೆ.
Britain	ಬ್ರಿಟನ್
Buddha; merciful person; Buddhist image; the dead	ಬುದ್ಧ; ಕರುಣಾಮಯಿ ವ್ಯಕ್ತಿ; ಬೌದ್ಧ ಚಿತ್ರ; ಸತ್ತವರು
Buddhist karma; actions committed in a former life	ಬೌದ್ಧ ಕರ್ಮ; ಹಿಂದಿನ ಜೀವನದಲ್ಲಿ ಮಾಡಿದ ಕ್ರಮಗಳು
Buddhist priest; monk	ಬೌದ್ಧ ಪಾದ್ರಿ; ಸನ್ಯಾಸಿ
Buddhist temple	ಬೌದ್ಧ ದೇವಾಲಯ
By 2028 I will have graduated.	2028 ರ ಹೊತ್ತಿಗೆ ನಾನು ಪದವಿ ಪಡೆಯುತ್ತೇನೆ.
By 2030, I will have graduated.	2030 ರ ಹೊತ್ತಿಗೆ, ನಾನು ಪದವಿಯನ್ನು ಪೂರ್ಣಗೊಳಿಸುತ್ತೇನೆ.
By 9 PM we will have watched the whole series.	ರಾತ್ರಿ 9 ಗಂಟೆಗೆ ನಾವು ಸಂಪೂರ್ಣ ಸರಣಿಯನ್ನು ವೀಕ್ಷಿಸುತ್ತೇವೆ.
By card, please.	ಕಾರ್ಡ್ ಮೂಲಕ, ದಯವಿಟ್ಟು.
By next month we will have saved enough.	ಮುಂದಿನ ತಿಂಗಳ ಹೊತ್ತಿಗೆ ನಾವು ಸಾಕಷ್ಟು ಉಳಿತಾಯ ಮಾಡುತ್ತೇವೆ.
By the end of the year, we will have visited five countries.	ವರ್ಷದ ಅಂತ್ಯದ ವೇಳೆಗೆ, ನಾವು ಐದು ದೇಶಗಳಿಗೆ ಭೇಟಿ ನೀಡುತ್ತೇವೆ.
By the rules it's not allowed, but in practice you can.	ನಿಯಮಗಳ ಪ್ರಕಾರ ಇದನ್ನು ಅನುಮತಿಸಲಾಗುವುದಿಲ್ಲ, ಆದರೆ ಪ್ರಾಯೋಗಿಕವಾಗಿ ನೀವು ಮಾಡಬಹುದು.
By the time I woke up, everyone had left.	ನಾನು ಏಳುವ ಹೊತ್ತಿಗೆ ಎಲ್ಲರೂ ಹೊರಟು ಹೋಗಿದ್ದರು.
By the time you arrive, we will have eaten.	ನೀನು ಬರುವಷ್ಟರಲ್ಲಿ ನಾವು ಊಟ ಮಾಡಿರುತ್ತೇವೆ.
By then, I will have forgotten his name.	ಅಷ್ಟೊತ್ತಿಗಾಗಲೇ ನನಗೆ ಅವನ ಹೆಸರೇ ಮರೆತು ಹೋಗಿರುತ್ತದೆ.
By then, he will be driving home.	ಅಷ್ಟೊತ್ತಿಗಾಗಲೇ ಆತ ಮನೆಗೆ ಕಾರಿನಲ್ಲಿ ಹೋಗುತ್ತಾನೆ.
By this time next year, I will have changed my job.	ಮುಂದಿನ ವರ್ಷ ಈ ಹೊತ್ತಿಗೆ, ನಾನು ನನ್ನ ಕೆಲಸವನ್ನು ಬದಲಾಯಿಸುತ್ತೇನೆ.
CD	ಸಿಡಿ
California	ಕ್ಯಾಲಿಫೋರ್ನಿಯಾ
Call an ambulance!	ಆಂಬ್ಯುಲೆನ್ಸ್‌ಗೆ ಕರೆ ಮಾಡಿ!
Call me when you're free.	ನೀವು ಬಿಡುವಿರುವಾಗ ನನಗೆ ಕರೆ ಮಾಡಿ.
Call the police!	ಪೊಲೀಸರಿಗೆ ಕರೆ ಮಾಡಿ!
Can I ask a favor?	ನಾನು ಪರವಾಗಿ ಕೇಳಬಹುದೇ?
Can I borrow some money?	ನಾನು ಸ್ವಲ್ಪ ಹಣವನ್ನು ಎರವಲು ಪಡೆಯಬಹುದೇ?
Can I change rooms?	ನಾನು ಕೊಠಡಿಗಳನ್ನು ಬದಲಾಯಿಸಬಹುದೇ?
Can I come in?	ನಾನು ಒಳಗೆ ಬರಬಹುದೇ?
Can I exchange it?	ನಾನು ಅದನ್ನು ವಿನಿಮಯ ಮಾಡಿಕೊಳ್ಳಬಹುದೇ?
Can I get a map?	ನಾನು ನಕ್ಷೆಯನ್ನು ಪಡೆಯಬಹುದೇ?
Can I get a receipt?	ನಾನು ರಸೀದಿಯನ್ನು ಪಡೆಯಬಹುದೇ?
Can I get this to go?	ನಾನು ಇದನ್ನು ಹೋಗಬಹುದೇ?
Can I have some water?	ನಾನು ಸ್ವಲ್ಪ ನೀರು ಕೊಡಬಹುದೇ?
Can I leave my bags here?	ನಾನು ನನ್ನ ಚೀಲಗಳನ್ನು ಇಲ್ಲಿ ಬಿಡಬಹುದೇ?
Can I leave my luggage?	ನಾನು ನನ್ನ ಸಾಮಾನುಗಳನ್ನು ಬಿಡಬಹುದೇ?
Can I park here?	ನಾನು ಇಲ್ಲಿ ಪಾರ್ಕ್ ಮಾಡಬಹುದೇ?
Can I pay by card on the bus?	ನಾನು ಬಸ್‌ನಲ್ಲಿ ಕಾರ್ಡ್ ಮೂಲಕ ಪಾವತಿಸಬಹುದೇ?
Can I pay by card?	ನಾನು ಕಾರ್ಡ್ ಮೂಲಕ ಪಾವತಿಸಬಹುದೇ?
Can I return it?	ನಾನು ಅದನ್ನು ಹಿಂತಿರುಗಿಸಬಹುದೇ?
Can I return this?	ನಾನು ಇದನ್ನು ಹಿಂತಿರುಗಿಸಬಹುದೇ?
Can I take a message?	ನಾನು ಸಂದೇಶವನ್ನು ತೆಗೆದುಕೊಳ್ಳಬಹುದೇ?
Can I take it to go?	ನಾನು ಅದನ್ನು ಹೋಗಲು ತೆಗೆದುಕೊಳ್ಳಬಹುದೇ?
Can I take photos here?	ನಾನು ಇಲ್ಲಿ ಫೋಟೋಗಳನ್ನು ತೆಗೆಯಬಹುದೇ?
Can I try this on?	ನಾನು ಇದನ್ನು ಪ್ರಯತ್ನಿಸಬಹುದೇ?
Can I use a credit card?	ನಾನು ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಬಳಸಬಹುದೇ?
Can I use this ticket?	ನಾನು ಈ ಟಿಕೆಟ್ ಅನ್ನು ಬಳಸಬಹುದೇ?
Can I use your phone?	ನಾನು ನಿಮ್ಮ ಫೋನ್ ಬಳಸಬಹುದೇ?
Can she cook?	ಅವಳು ಅಡುಗೆ ಮಾಡಬಹುದೇ?
Can we pay by card?	ನಾವು ಕಾರ್ಡ್ ಮೂಲಕ ಪಾವತಿಸಬಹುದೇ?
Can we play here?	ನಾವು ಇಲ್ಲಿ ಆಡಬಹುದೇ?
Can we see the menu?	ನಾವು ಮೆನುವನ್ನು ನೋಡಬಹುದೇ?
Can you call a taxi?	ನೀವು ಟ್ಯಾಕ್ಸಿಗೆ ಕರೆ ಮಾಡಬಹುದೇ?
Can you come to my birthday?	ನೀವು ನನ್ನ ಹುಟ್ಟುಹಬ್ಬಕ್ಕೆ ಬರಬಹುದೇ?
Can you come tomorrow?	ನೀವು ನಾಳೆ ಬರಬಹುದೇ?
Can you eat spicy food?	ನೀವು ಮಸಾಲೆಯುಕ್ತ ಆಹಾರವನ್ನು ತಿನ್ನಬಹುದೇ?
Can you explain it simply?	ನೀವು ಅದನ್ನು ಸರಳವಾಗಿ ವಿವರಿಸಬಹುದೇ?
Can you fix it, please?	ದಯವಿಟ್ಟು ಅದನ್ನು ಸರಿಪಡಿಸಬಹುದೇ?
Can you fix it?	ನೀವು ಅದನ್ನು ಸರಿಪಡಿಸಬಹುದೇ?
Can you hear that noise?	ಆ ಸದ್ದು ನಿಮಗೆ ಕೇಳಿಸುತ್ತಿದೆಯೇ?
Can you help me with this box?	ಈ ಪೆಟ್ಟಿಗೆಯೊಂದಿಗೆ ನೀವು ನನಗೆ ಸಹಾಯ ಮಾಡಬಹುದೇ?
Can you help me, please?	ದಯವಿಟ್ಟು ನನಗೆ ಸಹಾಯ ಮಾಡಬಹುದೇ?
Can you recommend a pharmacy?	ನೀವು ಔಷಧಾಲಯವನ್ನು ಶಿಫಾರಸು ಮಾಡಬಹುದೇ?
Can you see it?	ನೀವು ಅದನ್ನು ನೋಡಬಹುದೇ?
Can you show me on the map?	ನೀವು ನನಗೆ ನಕ್ಷೆಯಲ್ಲಿ ತೋರಿಸಬಹುದೇ?
Can you speak Japanese?	ನೀವು ಜಪಾನೀಸ್ ಮಾತನಾಡಬಹುದೇ?
Can you speak in English?	ನೀವು ಇಂಗ್ಲಿಷ್‌ನಲ್ಲಿ ಮಾತನಾಡಬಹುದೇ?
Can you speak more slowly?	ನೀವು ಹೆಚ್ಚು ನಿಧಾನವಾಗಿ ಮಾತನಾಡಬಹುದೇ?
Can you swim?	ನೀವು ಈಜಬಹುದೇ?
Can you wait a moment?	ನೀವು ಒಂದು ಕ್ಷಣ ಕಾಯಬಹುದೇ?
Can you watch my bag?	ನೀವು ನನ್ನ ಚೀಲವನ್ನು ನೋಡಬಹುದೇ?
Canada	ಕೆನಡಾ
Cat	ಬೆಕ್ಕು
Cats like milk.	ಬೆಕ್ಕುಗಳು ಹಾಲನ್ನು ಇಷ್ಟಪಡುತ್ತವೆ.
Certainly.	ಖಂಡಿತವಾಗಿಯೂ.
Cheers!	ಚೀರ್ಸ್!
Cheers! (a toast)	ಚೀರ್ಸ್! (ಒಂದು ಟೋಸ್ಟ್)
Chicago	ಚಿಕಾಗೋ
Children's Day	ಮಕ್ಕಳ ದಿನಾಚರಣೆ
China	ಚೀನಾ
Chinese Character-Japanese (e.g. dictionary)	ಚೈನೀಸ್ ಅಕ್ಷರ-ಜಪಾನೀಸ್ (ಉದಾ. ನಿಘಂಟು)
Chinese character	ಚೈನೀಸ್ ಅಕ್ಷರ
Chinese word; Sino-Japanese word	ಚೈನೀಸ್ ಪದ; ಸಿನೋ-ಜಪಾನೀಸ್ ಪದ
Choose any color.	ಯಾವುದೇ ಬಣ್ಣವನ್ನು ಆರಿಸಿ.
Christian Era; anno domini (A.D.)	ಕ್ರಿಶ್ಚಿಯನ್ ಯುಗ; ಅನ್ನೊ ಡೊಮಿನಿ (ಎ.ಡಿ.)
Christmas	ಕ್ರಿಸ್ಮಸ್
Coffee and cake, please.	ಕಾಫಿ ಮತ್ತು ಕೇಕ್, ದಯವಿಟ್ಟು.
Coffee is grown in Brazil.	ಕಾಫಿಯನ್ನು ಬ್ರೆಜಿಲ್‌ನಲ್ಲಿ ಬೆಳೆಯಲಾಗುತ್ತದೆ.
Coffee, please.	ಕಾಫಿ, ದಯವಿಟ್ಟು.
Come here, please.	ದಯವಿಟ್ಟು ಇಲ್ಲಿಗೆ ಬನ್ನಿ.
Come into the kitchen.	ಅಡುಗೆ ಮನೆಗೆ ಬಾ.
Congratulations on graduating!	ಪದವಿ ಪಡೆದಿದ್ದಕ್ಕಾಗಿ ಅಭಿನಂದನೆಗಳು!
Congratulations on your wedding!	ನಿಮ್ಮ ಮದುವೆಗೆ ಅಭಿನಂದನೆಗಳು!
Congratulations!	ಅಭಿನಂದನೆಗಳು!
Congratulations.	ಅಭಿನಂದನೆಗಳು.
Constitution Day	ಸಂವಿಧಾನ ದಿನ
Could I borrow your pen?	ನಾನು ನಿಮ್ಮ ಪೆನ್ನು ಎರವಲು ಪಡೆಯಬಹುದೇ?
